Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Drvr_Drg_Cat_1_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,Drvr_Lic_Type_ID,Drvr_Lic_State_ID,Drvr_Lic_Cls_ID,Drvr_Zip
13620796,1,1,1,1,5,21,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,1,43,8,78617
13620796,2,1,1,1,3,29,2,1,1,1,4,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78617
13625015,1,1,1,1,5,29,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78664
13626769,1,1,1,1,3,46,1,2,1,1,8,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78737
13626769,2,1,1,1,3,33,1,2,1,1,8,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78704
13626770,1,1,1,1,3,48,1,2,1,1,3,97,N,4,,,2,97,97,,0,0,1,0,0,1,0,9,43,3,78634
13626770,2,1,1,1,5,67,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,6,78745
13626770,3,1,1,1,0,,,2,5,10,0,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,99,113,0,
13626771,1,1,1,1,2,20,2,1,1,1,2,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,1,43,8,78744
13626771,2,1,1,1,5,51,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78747
13626772,1,1,1,1,1,67,1,1,1,10,2,97,N,4,,,4,97,97,,1,0,0,0,0,1,0,9,43,3,78704
13626772,2,1,1,1,5,37,3,2,1,10,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78722
13626772,3,1,1,1,1,69,1,2,1,10,2,97,N,4,,,4,97,97,,1,0,0,0,0,1,0,9,43,3,78393
13626773,1,1,1,1,5,33,3,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78735
13626773,2,1,1,1,5,16,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78739
13626774,1,1,1,1,5,25,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78726
13626774,2,1,1,1,5,28,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78644
13626780,1,1,1,1,0,20,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,9,43,3,76051
13626780,2,1,1,1,5,48,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78753
13626781,1,1,1,1,5,46,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78748
13626781,2,1,5,1,5,20,1,1,4,11,1,4,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,7,78610
13626782,1,1,1,1,5,68,1,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78749
13626782,2,1,1,1,3,49,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78737
13626782,3,1,1,1,5,53,4,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78748
13626783,1,1,1,1,0,21,1,1,5,1,3,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,9,43,3,78701
13626784,1,1,1,1,5,49,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78739
13626784,2,1,1,1,2,20,1,2,1,1,3,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78748
13626785,1,1,1,1,5,34,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78737
13626785,2,1,1,1,5,56,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78628
13626786,1,1,1,1,5,20,4,2,1,1,8,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78666
13627107,1,1,1,1,5,24,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78745
13627108,1,1,1,1,5,19,2,1,1,1,0,97,N,6,,,4,97,97,,0,0,0,1,0,0,0,8,,8,78748
13627108,2,1,1,1,2,45,1,2,1,1,2,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78748
13627109,1,1,1,1,5,59,5,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78753
13627109,2,1,1,1,5,55,3,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78753
