Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Drvr_Drg_Cat_1_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,Drvr_Lic_Type_ID,Drvr_Lic_State_ID,Drvr_Lic_Cls_ID,Drvr_Zip
16179857,1,1,1,1,5,25,5,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,4,43,1,78741
16179857,3,1,1,1,5,43,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78753
16180145,1,1,1,1,5,28,2,1,4,1,2,97,N,1,1,0.188,4,97,97,,0,0,0,1,0,0,0,8,,8,78741
16180145,2,1,1,1,5,29,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78741
16180146,1,1,1,1,2,46,1,1,1,8,8,97,N,5,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78722
16180147,1,1,1,1,0,37,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,9,43,3,78660
16180147,2,1,1,1,5,80,1,2,1,1,8,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78752
16180148,1,1,1,1,5,48,3,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,8,78753
16180148,2,1,1,1,2,19,3,2,1,1,0,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78744
16180148,3,1,1,1,5,77,3,1,1,1,0,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78723
16180148,4,1,1,1,5,36,2,1,1,1,0,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78754
16180149,1,1,1,1,5,30,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78705
16180150,1,1,1,1,5,20,2,1,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,8,,8,78725
16180151,1,1,1,1,5,28,3,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78748
16180151,2,1,1,1,5,46,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,7,78660
16180161,1,1,1,1,5,33,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78660
16180161,2,1,1,1,2,44,1,1,1,1,8,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,8,,8,78617
16180162,1,1,1,1,5,50,3,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,8,,8,78754
16180162,4,1,4,16,1,45,3,2,4,11,1,97,N,4,,,4,97,97,,1,0,0,0,0,1,0,,,,78754
16180164,2,1,1,1,3,53,0,2,1,1,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78723
16180165,1,1,1,1,5,31,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,7,78754
16180165,2,1,1,1,5,22,3,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,75702
16180166,1,1,1,1,2,30,1,2,1,1,3,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78744
16180166,2,1,1,1,5,43,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78723
16180166,3,1,1,1,5,39,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78759
16180167,1,1,1,1,5,21,1,1,4,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78719
16180168,1,1,1,1,5,22,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,76017
16180168,2,1,1,1,5,35,4,2,4,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78741
16180169,1,1,1,1,0,,0,0,5,10,0,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,99,113,0,
16180169,2,1,1,1,2,24,2,1,1,1,2,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78653
16180170,1,1,1,1,5,,0,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,99,113,0,
16180170,2,1,4,16,2,26,2,2,4,11,1,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,8,78747
16180171,1,1,1,1,5,58,1,1,1,1,8,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,7,78750
16180171,2,1,1,1,5,28,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78721
16180173,1,1,1,1,3,,0,0,5,10,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,99,113,0,UNK
16180174,1,1,1,1,5,28,1,1,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,79734
16180175,1,1,1,1,5,24,5,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,
16180175,2,1,1,1,2,26,3,2,1,1,3,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78758
16180176,1,1,1,1,5,28,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,77083
16180417,1,1,1,1,5,58,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78745
16180417,2,1,1,1,0,,0,0,5,10,0,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,99,113,0,
16180418,1,1,1,1,5,21,2,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78744
16180418,2,1,1,1,3,21,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78744
16180419,1,1,1,1,5,19,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78641
16180419,2,1,1,1,5,24,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78724
16180420,1,1,1,1,5,18,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78757
