Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Drvr_Drg_Cat_1_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,Drvr_Lic_Type_ID,Drvr_Lic_State_ID,Drvr_Lic_Cls_ID,Drvr_Zip
14842077,1,1,1,1,5,53,,1,1,1,2,97,N,2,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78747
14842077,2,1,1,1,5,51,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78749
14842078,1,1,1,1,5,25,2,1,1,1,2,97,N,1,1,0.170,4,97,97,,0,0,0,1,0,0,0,1,43,8,78744
14842078,2,1,1,1,5,26,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78744
14842079,1,1,1,1,5,35,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78729
14842080,1,1,1,1,5,22,2,1,1,8,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78224
14842081,1,1,1,1,1,30,2,2,1,8,3,97,N,2,,,2,0,99,,1,0,0,0,0,1,0,8,,8,78723
14842082,1,1,1,1,3,28,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,8,,8,78758
14842082,2,1,1,1,5,67,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,8,,8,78752
14842083,1,1,1,1,5,48,4,2,1,1,8,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78717
14842083,2,1,1,2,5,37,1,1,1,1,8,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78723
14842084,1,1,1,1,5,36,1,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78660
14842084,2,1,1,1,5,16,3,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78660
14842085,1,1,1,1,5,37,4,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78731
14842086,1,1,1,1,1,55,1,1,1,8,2,97,N,5,,,5,97,97,,1,0,0,0,0,1,0,9,43,3,78741
14842122,1,1,1,1,5,22,5,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,1,43,8,78744
14842122,2,1,1,1,5,21,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78654
14842123,1,1,1,1,5,53,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78723
14842123,2,1,1,1,5,34,2,1,1,1,1,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78704
14842124,1,1,1,1,3,30,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78613
