Crash_ID,Unit_Nbr,Prsn_Nbr,Prsn_Type_ID,Prsn_Occpnt_Pos_ID,Prsn_Injry_Sev_ID,Prsn_Age,Prsn_Ethnicity_ID,Prsn_Gndr_ID,Prsn_Ejct_ID,Prsn_Rest_ID,Prsn_Airbag_ID,Prsn_Helmet_ID,Prsn_Sol_Fl,Prsn_Alc_Spec_Type_ID,Prsn_Alc_Rslt_ID,Prsn_Bac_Test_Rslt,Prsn_Drg_Spec_Type_ID,Prsn_Drg_Rslt_ID,Drvr_Drg_Cat_1_ID,Prsn_Death_Time,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,Drvr_Lic_Type_ID,Drvr_Lic_State_ID,Drvr_Lic_Cls_ID,Drvr_Zip
16826430,1,1,1,1,0,41,2,1,5,10,2,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,99,113,0,78753
16826430,2,1,1,1,5,32,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,1,43,8,78744
16826430,3,1,1,1,5,47,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78521
16826641,1,1,1,1,5,38,3,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,1,78634
16826889,1,1,1,1,5,22,2,1,1,1,2,97,N,1,1,0.242,4,97,97,,0,0,0,1,0,0,0,8,,8,78640
16827158,1,1,1,1,5,68,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78703
16827158,2,1,1,1,5,47,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78728
16827741,1,1,1,1,5,77,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78731
16827742,1,1,1,1,3,40,1,2,1,1,3,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78640
16828208,1,1,1,1,5,21,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78613
16831725,1,1,1,1,5,23,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78701
16831726,1,1,1,1,5,40,2,2,1,1,3,97,N,2,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78704
16831726,2,1,1,1,5,34,1,1,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78704
16831726,3,1,1,1,5,31,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,7,78701
16831727,1,1,1,1,5,20,1,1,1,1,3,97,Y,1,2,0.069,4,97,97,,0,0,0,1,0,0,0,9,43,3,78681
16831727,2,1,1,1,5,20,2,2,1,1,3,97,Y,4,,,4,97,97,,0,0,0,1,0,0,0,8,,8,78748
16831727,3,1,1,1,5,39,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78748
16831727,4,1,1,1,0,,0,0,1,10,0,97,Y,4,,,4,97,97,,0,0,0,0,1,0,0,99,113,0,
16831728,1,1,99,12,0,,0,0,5,10,8,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,99,113,0,
16831729,1,1,1,1,5,34,2,2,1,1,3,97,N,1,1,0.217,4,97,97,,0,0,0,1,0,0,0,8,,8,78753
16831730,1,1,1,1,5,22,4,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78724
16831731,1,1,1,1,3,22,2,2,1,1,3,97,N,1,1,0.115,4,97,97,,0,0,1,0,0,1,0,9,43,3,78655
16831732,1,1,1,1,0,,0,0,5,10,0,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,99,113,0,
16831732,2,1,1,1,5,36,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78723
16831733,1,1,1,1,2,42,1,2,1,1,3,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,6,98,80221
16831735,1,1,1,1,5,27,1,2,4,1,8,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78746
16831735,2,1,1,1,5,47,2,2,4,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,8,,8,78744
16831735,3,1,1,1,5,17,1,1,4,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78730
16831735,4,1,1,1,5,30,1,1,4,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78723
16831736,1,1,2,1,2,21,1,1,1,1,3,97,Y,2,,,2,0,99,,0,1,0,0,0,1,0,9,43,3,75901
16831736,2,1,1,1,5,72,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,7,78759
16831737,1,1,1,1,5,64,3,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,2,78640
16831745,1,1,1,1,5,48,2,1,1,1,8,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,8,,8,
16831785,1,1,1,1,0,99,0,1,1,10,3,97,N,6,,,6,97,97,,0,0,0,0,1,0,0,,,,
16831786,1,1,1,1,5,32,3,2,1,1,4,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78109
16831786,2,1,1,1,5,48,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,7,75071
16831791,1,1,1,1,3,49,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78664
16831791,2,1,1,1,5,44,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,38632
16831796,1,1,1,1,0,33,2,1,1,1,0,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,9,43,3,78759
16831796,2,1,1,1,5,54,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78613
16831796,3,1,1,1,1,25,3,2,1,1,2,97,N,4,,,4,97,97,,1,0,0,0,0,1,0,1,43,8,78717
16831799,1,1,1,1,5,42,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78610
16831800,1,1,1,1,5,47,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78653
16831800,2,1,1,1,5,45,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78653
16831801,1,1,1,1,2,22,2,1,1,10,3,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,8,,8,78744
16831802,1,1,1,1,2,47,4,1,1,1,8,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78726
16831803,1,1,1,1,5,75,4,1,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,16,98,66061
16831804,1,1,1,1,2,43,2,1,1,1,4,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,2,78745
16831805,1,1,1,1,5,51,2,1,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,8,,8,78602
16831805,2,1,1,1,5,21,2,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,77035
16831806,1,1,1,1,3,28,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,8,,8,77015
16831807,1,1,1,1,5,25,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78747
16831808,1,1,1,1,5,24,1,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,75703
16831808,2,1,1,1,5,57,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78681
16831809,1,1,1,1,5,25,1,1,1,1,4,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78757
16831811,1,1,1,1,5,20,1,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78613
16831812,1,1,1,1,5,17,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,1,43,8,78724
16831813,1,1,1,1,5,16,2,1,2,1,4,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78724
16831814,1,1,1,1,5,28,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78729
16831816,1,1,1,1,5,21,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78748
16831817,1,1,1,1,5,18,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78736
16831856,1,1,1,1,2,31,5,2,1,1,8,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78748
16831856,2,1,1,1,5,51,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,2,78681
16831856,3,1,1,1,5,32,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78741
16831856,4,1,1,1,5,30,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78704
16831858,1,1,1,1,0,27,0,0,5,10,0,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,99,113,0,0000
16831858,2,1,1,1,2,25,4,2,1,1,8,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78723
16831858,3,1,1,1,5,28,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,77422
16831860,1,1,1,1,3,35,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78731
16831860,2,1,1,1,5,42,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,7,78751
16831860,3,1,1,1,5,55,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,4,43,2,78702
16831861,1,1,1,1,5,33,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,6,98,80209
16831861,2,1,1,1,5,32,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78751
16831861,3,1,1,1,5,24,5,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78756
16831862,1,1,1,1,2,29,1,2,1,1,8,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78641
16831864,1,1,1,1,5,20,2,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78705
16831864,2,1,1,1,2,25,2,1,1,1,3,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,8,,8,78621
16831865,1,1,1,1,5,17,2,1,1,1,8,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,1,43,8,78744
16831865,2,1,1,1,5,43,0,1,1,1,8,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78745
16831866,1,1,1,1,5,41,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78744
16831866,2,1,1,1,5,23,1,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78626
16831867,1,1,1,1,5,23,1,1,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,79109
16831868,1,1,1,1,5,34,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,8,,8,78741
16831869,1,1,1,1,2,15,1,1,1,1,2,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,8,,8,78756
16831870,1,1,1,1,3,38,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78704
16831870,2,1,1,1,0,,0,0,5,10,0,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,99,113,0,
16831872,1,1,1,1,3,18,2,2,1,1,4,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,8,,8,78754
16831872,2,1,1,1,3,21,3,1,1,1,3,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,4,98,78757
16831878,1,1,1,1,5,24,4,1,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,33,98,78738
16831878,2,1,1,1,5,50,3,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,8,78744
16831885,1,1,2,1,5,30,1,1,1,1,4,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,10,98,78747
16831888,1,1,1,1,2,59,1,1,1,1,8,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78731
16831890,1,1,1,1,5,20,2,1,1,1,8,97,N,2,,,4,97,97,,0,0,0,1,0,0,0,1,43,8,78729
16831891,1,1,1,1,5,62,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78758
16831891,2,1,4,16,2,66,1,1,4,11,1,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,8,,8,
16831892,1,1,1,1,3,32,1,1,1,1,3,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78664
16831893,1,1,1,1,3,29,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78660
16831893,2,1,1,1,5,21,3,1,1,1,4,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78728
16831893,3,1,1,1,3,62,1,2,1,1,4,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78758
16831894,1,1,1,1,5,43,1,2,1,1,8,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,77901
16831895,1,1,1,1,5,19,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78664
16831896,1,1,1,1,5,55,3,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78723
16831896,2,1,2,1,5,46,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78701
16831897,1,1,1,1,5,35,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78757
16831897,2,1,1,1,5,79,3,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78750
16831926,1,1,1,1,5,67,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,8,,8,78612
16831926,2,1,1,1,5,33,3,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78753
16831927,1,1,1,1,5,29,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78626
16831927,2,1,1,1,2,26,0,2,1,1,2,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,7,78253
16831928,1,1,1,1,5,33,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78721
16831928,2,1,1,1,5,36,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78753
16831928,3,1,1,1,5,68,4,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78759
16831928,4,1,1,1,5,25,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78759
16831929,1,1,1,1,5,20,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,
16831929,2,1,1,1,5,22,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78641
16831930,1,1,1,1,3,21,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,8,,8,78704
16831931,1,1,1,1,5,25,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78703
16831932,1,1,1,1,5,63,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78745
16831932,2,1,1,1,5,58,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78660
16831933,1,1,1,1,5,25,5,2,1,2,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78681
16831933,2,1,1,1,0,,0,1,1,10,0,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,99,113,0,78728
16831934,1,1,1,1,5,24,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,4,43,2,78744
16831935,1,1,1,1,3,29,1,1,1,1,3,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78660
16831935,2,1,1,1,5,29,1,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78717
16831936,1,1,1,1,5,57,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78746
16831936,2,1,3,16,2,24,1,1,4,11,1,4,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78751
16831937,1,1,1,1,5,45,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78245
16831937,3,1,1,1,0,46,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,9,43,3,78132
16831937,4,1,1,1,5,39,3,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78613
16831938,1,1,1,1,5,21,1,2,1,10,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78754
16831938,2,1,1,1,2,58,1,1,1,10,2,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,2,78660
16831939,1,1,1,1,5,38,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78702
16831939,2,1,1,1,3,82,1,2,1,1,3,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,9,43,3,78731
16831940,1,1,1,1,5,29,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78749
16831940,2,1,1,1,0,29,1,2,5,10,0,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,9,43,3,75075
16831941,1,1,1,1,5,29,2,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78741
16831941,2,1,1,1,5,54,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78702
16831942,1,1,5,1,2,25,1,1,4,11,1,2,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,7,78745
16831942,2,1,1,1,5,60,1,2,1,1,8,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,7,98,78745
16831943,1,1,1,1,5,54,1,2,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78640
16831943,2,1,1,1,5,37,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78759
16831944,1,1,1,1,2,27,4,1,1,1,8,97,N,4,,,4,97,97,,0,1,0,0,0,1,0,9,43,3,78732
16831944,2,1,1,1,5,30,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78752
16831945,1,1,99,12,0,,0,0,5,10,0,97,N,4,,,4,97,97,,0,0,0,0,1,0,0,99,113,0,
16831945,2,1,1,1,5,22,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78753
16831945,3,1,1,1,5,27,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78620
16831945,4,1,1,1,5,21,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,76661
16831946,1,1,1,1,5,22,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78753
16831946,2,1,1,1,5,33,2,1,1,10,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,,,,76574
16831947,1,1,1,1,5,48,1,1,1,1,1,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,4,9,98,33950
16831948,1,1,1,1,5,65,1,2,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78757
16831949,1,1,1,1,3,21,2,1,1,1,3,97,N,4,,,4,97,97,,0,0,1,0,0,1,0,1,43,8,76543
16831953,1,1,1,1,5,27,4,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,4,59,98,
16831980,1,1,1,1,5,19,1,1,1,1,3,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,79407
16831981,1,1,1,1,5,18,2,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,8,,8,78752
16831981,2,1,1,1,5,42,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78721
16831982,1,1,1,1,5,24,1,1,1,1,2,97,N,4,,,4,97,97,,0,0,0,1,0,0,0,9,43,3,78617
